Material type,ISBN,Name,All names,Title,Variant titles,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Volume,9780241110430,Chris Powling,Stephen Gulbis ; Chris Powling,Roald Dahl,,England,,1983,,"Authors, English--20th century--Biography--Juvenile literature ; Childrens' stories in English--Roald Dahl--1916---Biographies ; Roald Dahl--Biography--Juvenile literature",,English
Volume,9780718117511,Roald Dahl,,Roald Dahl's tales of the unexpected,Tales of the unexpected,England,Joseph,1979,,"Short stories in English--1900---Texts ; Short stories, English",,English
Volume,9780718118648,Roald Dahl,,My uncle Oswald,,England,Joseph,1979,,Fiction in English--1900---Texts,,English
Volume,9780718119195,Roald Dahl,,More Roald Dahl tales of the unexpected,More tales of the unexpected ; Tales of the unexpected,England,Joseph,1980,,"Short stories in English--1900---Texts ; Short stories, English",,English
Volume,9780718122508,Roald Dahl,,The best of Roald Dahl,,England,Michael Joseph,1983,,Fiction in English--1900-1945--Texts,,English
Volume,9780718132521,Roald Dahl,,"Ah, sweet mystery of life",,England,Joseph,1989,,Short stories in English--1945---Texts,,English
Volume,9780718135454,Roald Dahl,,The collected short stories of Roald Dahl,,England,Michael Joseph,1991,,English fiction--Short stories,,English
Volume,,Roald Dahl,,Someone like you,,England,Secker & Warburg,1954,,,,English
Volume,,Roald Dahl,Roald Dahl ; Quentin Blake,My year,,England,Heinemann New Windmills,1997,,Roald Dahl,,English
Volume,9780754030430,Roald Dahl,Roald Dahl,Tales of the unexpected,,England,Chivers,1997,Large print edition,Large type books,,English
Volume,9780754031796,Roald Dahl,,More tales of the unexpected,,England,Chivers,1998,Large print edition,Large type books,,English
Volume,9780754031802,Roald Dahl,,More tales of the unexpected,,England,Camden,1998,Large print edition,Large type books,,English
Volume,9780754035534,Roald Dahl,,Further tales of the unexpected,,England,Chivers,1999,Large print edition,Large type books,,English
Volume,9780754035541,Roald Dahl,,Further tales of the unexpected,,England,Camden,1999,Large print edition,Large type books,,English
Volume,9780754060468,Roald Dahl,Roald Dahl ; Quentin Blake,Danny : the champion of the world,"Danny, the champion of the world",England,Galaxy,1999,Large print edition,Large type books,,English
Volume,9780754060543,Roald Dahl,,The BFG,,England,Chivers Press,1999,Large print edition,Giants--Juvenile fiction,Children's fiction ; Humour or satire ; Large print,English
Volume,9780754060604,Roald Dahl,,Matilda,,England,Chivers Press,1999,Large print edition,,Children's fiction ; Humour or satire ; Large print,English
Volume,9780754061915,Roald Dahl,Roald Dahl ; Quentin Blake,The witches,,England,Galaxy,2002,Large print edition,Large type books ; Witches--Juvenile fiction,Children's fiction,English
Volume,9780435122218,Roald Dahl,,Danny the champion of the world,,England,Heinemann,1977,,"Children's stories ; Children's stories in English, 1900---Texts",,English
Volume,9780435122379,Roald Dahl,,The wonderful story of Henry Sugar,,England,Heinemann,1979,New edition,"Children's stories ; Children's stories in English, 1900---Texts",,English
Sheet,9781850891666,Roald Dahl,,Going solo,,England,ISIS Large,1987,,"Fiction in English--Roald Dahl--1916---Biographies ; Authors, English--20th century--Biography",,English
Sheet,9781850893141,Roald Dahl,,"Kiss, kiss",,England,ISIS,1989,,Short stories in English--1945---Texts,,English
Volume,9781850898412,Roald Dahl,Roald Dahl ; Quentin Blake,"Revolting rhymes, dirty beasts",,England,Windrush,1991,,English fiction--Children's stories,,English
Sheet,9781850898702,Roald Dahl,,The twits,,England,Windrush,1990,,Children's stories in English--1945---Texts,,English
Sheet,9781850898900,Roald Dahl,Roald Dahl ; Quentin Blake,The witches,,England,Windrush Large,1990,,Children's stories in English--1900-1945--Texts,,English
Sheet,9781850899570,Roald Dahl,,The BFG,,England,Windrush,1988,,Children's stories in English--1945---Texts,,English
Sheet,9781850899808,Roald Dahl,Donald Chaffin ; Roald Dahl,Fantastic Mr Fox,,England,Windrush,1989,,Children's stories in English--1945---Texts,,English
Sheet,9781850899846,Roald Dahl,Roald Dahl,The wonderful story of Henry Sugar,,England,Windrush,1989,,Children's short stories in English--1945---Texts,,English
Sheet,9781850899853,Roald Dahl,Roald Dahl ; Quentin Blake,George's marvellous medicine,,England,Windrush,1989,,Children's short stories in English--1900-1945--Texts,,English
Volume,,Roald Dahl,Alan Duff ; Rosemary Border ; Roald Dahl,"The sound machine ; and, Parson's pleasure",Parson's pleasure,England,Cambridge University Press,1977,,English language--Text-books for foreign spekers ; Readers--1950- ; English language--Reading books--For non-English speaking students,,English
Volume,,Roald Dahl,Rosemary Border ; Roald Dahl,Mrs Bixby and the Colonel's coat,,England,Cambridge University Press,1977,,English language--Text-books for foreign spekers ; Readers--1950- ; English language--Reading books--For non-English speaking students,,English
Volume,9780001006874 ; 9780140371543,Roald Dahl,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,England,Puffin,1995,,English fiction--Children's stories,,English
Volume,9780001010666 ; 9780001854345 ; 9780411400378,Roald Dahl,,The magic finger,,England,Collins,1992,,English fiction--Children's stories,,English
Sheet,9780001010888 ; 9780001854321,Roald Dahl,Emma Clark Chichester ; Roald Dahl,James and the giant peach,,England,Collins,1991,,English fiction--Children's stories,,English
Volume,9780001854338,Roald Dahl,Tony Ross ; Roald Dahl,Fantastic Mr. Fox,,England,Collins,1991,,English fiction--Children's stories,,English
Volume,9780521217194,Roald Dahl,Rosemary Border ; Roald Dahl,Parson's pleasure,,England,Cambridge University Press,1977,,English language--For non-English speaking students--Texts ; English language--Text-books for foreign speakers ; Readers--1950-,,English
Volume,9780521217200,Roald Dahl,Rosemary Border ; Roald Dahl,Mrs Bixby and the Colonel's coat,,England,Cambridge University Press,1977,,English language--For non-English speaking students--Texts ; English language--Text-books for foreign speakers ; Readers--1950-,,English
Volume,9780521217224,Roald Dahl,Alan Duff ; Roald Dahl,The sound machine,,England,Cambridge University Press,1977,,English language--For non-English speaking students--Texts ; English language--Text-books for foreign speakers ; Readers--1950-,,English
Volume,9780719537677 ; 9780884368885 ; 9783125352704 ; 9788205079083 ; 9788742973073 ; 9789124303037,Roald Dahl,,The way up to heaven and other stories,,England,Grafisk ; Murray,1980,,English language--For non-English speaking students--Texts ; English language--Text-books for foreign speakers ; Readers--1950-,,English
Volume,9780851191133,Roald Dahl,,Tales of the unexpected,,England,Chivers,1981,Large print edition,Short stories in English--1900-1945--Texts,,English
Volume,9780851191164,Roald Dahl,,Further tales of the unexpected,More Roald Dahl tales of the unexpected,England,Chivers,1981,Large print edition,Short stories in English--1900-1945--Texts,,English
Volume,9780851191218,Roald Dahl,,More tales of the unexpected,,England,Chivers,1981,Large print edition,Short stories in English--1900-1945--Texts,,English
Volume,9780948930553,Roald Dahl,Roald Dahl ; Quentin Blake,Y crocodeil anferthol,Enormous crocodile. Welsh,Wales,Cymdeithas Lyfrau Ceredigion,1989,,Children's stories in English--1945---Texts,,Welsh
Volume,9780948930829,"Fison, Josie",Quentin Blake ; Josie Fison ; Felicity Dahl,Bwydydd ych-y-pych Roald Dahl,Roald Dahl's revolting recipes. Welsh,Wales,Cymdeithas Lyfrau Ceredigion,1995,,Cooking--Juvenile literature ; Cookery,Children's literature,Welsh
Volume,9780099263074,Roald Dahl,Quentin Blake ; Josie Fison ; Jan Baldwin ; Roald Dahl ; Felicity Dahl,Roald Dahl's revolting recipes : as presented by Gary Rhodes on BBC TV,Revolting recipes,England,Red Fox,1997,,Cooking--Juvenile literature,Children's literature,English
Volume,9780099417125,Roald Dahl,Quentin Blake ; Lori-Ann Newman ; Jan Baldwin ; Roald Dahl,Roald Dahl's even more revolting recipes,Even more revolting recipes,England,Red Fox,2002,,Cooking--Juvenile literature,Children's literature,English
Volume,9780140041798,Roald Dahl,Roald Dahl,Switch bitch,,England,Penguin,2001,,"Black humor (Literature) ; Short stories, English ; Fiction",,English
Volume,9780140057737,Roald Dahl,Roald Dahl,The wonderful story of Henry Sugar and six more,,England,Penguin,2002,,"Young adult fiction, English ; Children's stories, English",,English
Volume,9780140103069,Roald Dahl,Roald Dahl,Going solo,,England,Penguin,2002,,"World War, 1939-1945--Personal narratives, British ; Authors, Welsh--20th century--Biography ; Roald Dahl",Biography ; Personal narrative,English
Volume,9780140314649,Roald Dahl,Richard R. George ; Roald Dahl,Roald Dahl's James and the giant peach : a play,James and the giant peach,England,Puffin,2001,,"Children's plays, American ; Plays",,English
Volume,9780140371581,Roald Dahl,Roald Dahl ; Quentin Blake,The magic finger,,England,Puffin,1995,,"Children's stories, English",,English
Volume,9780140373486,Roald Dahl,,The wonderful story of Henry Sugar : and six more,,England,Puffin,1995,New edition,,,English
Volume,9780140379150,Roald Dahl,,The great automatic grammatizator and other stories,,England,Puffin,1997,,,,English
Volume,9780140383003,Roald Dahl,Walt Disney Company ; Roald Dahl,Disney's James and the giant peach : sticker storybook,James and the giant peach,England,Puffin,1996,,,,English
Volume,9780140568196,Roald Dahl,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,England,Puffin,2001,,,,English
Volume,9780140568226,Roald Dahl,Roald Dahl ; Quentin Blake,The enormous crocodile,,England,Puffin,2001,,Crocodiles--Pictorial works--Juvenile fiction,Children's fiction ; Pictorial work,English
Volume,9780140568233,Roald Dahl,Roald Dahl ; Quentin Blake,Dirty beasts,,England,Puffin,2001,,"Children's poetry, English--Pictorial works--Juvenile poetry",Pictorial work ; Poetry or verse,English
Volume,9780140816822,Roald Dahl,,Matilda,,England,Penguin,1998,,,Humour or satire ; Reader,English
Volume,9780140317305 ; 9780140868432 ; 9780140868708,Roald Dahl,Roald Dahl ; Quentin Blake,The witches,,England,Puffin,1998,,Witches--Juvenile fiction,,English
Volume,9780435123000,Roald Dahl,Roald Dahl,Boy : tales of childhood,,England,Heinemann,1986,,Children's stories in English--1945---Texts,,English
Volume,,Elaine Shaw,,Roald Dahl : moral truth or immoral trivia?,,England,,1989,,Roald Dahl,,English
Volume,9780044404361,Roald Dahl,Tony Ross ; Roald Dahl,The magic finger,,England,Unwin Hyman,1989,,Children's stories in English--1945---Texts,,English
Volume,9780044406211,Roald Dahl,Emma Clark Chichester ; Roald Dahl,James and the giant peach,,England,Unwin Hyman,1990,,Children's stories in English--1945---Texts,,English
Volume,9780141301471,Roald Dahl,Roald Dahl ; Quentin Blake,Charlie and the chocolate factory,,England,Puffin,1998,,Charlie (Fictitious character)--Juvenile fiction,Adventure ; Children's fiction,English
Volume,9780141302836,Roald Dahl,Roald Dahl ; Quentin Blake,The BFG,,England,Puffin,1999,New edition,Giants--Juvenile fiction,Children's fiction ; Humour or satire,English
